iter	Logloss
0	0.4710972113
1	0.3742633699
2	0.3299802136
3	0.3022499238
4	0.2716112075
5	0.2616511073
6	0.2548216128
7	0.2489487665
8	0.2447622745
9	0.2403399983
10	0.2372427263
11	0.2344876995
12	0.232132518
13	0.2269160008
14	0.2239936469
15	0.2216906801
16	0.2203439241
17	0.216126119
18	0.2137214461
19	0.210422144
20	0.2090342885
21	0.2073480482
22	0.204191524
23	0.2021957794
24	0.1972127718
25	0.1963059514
26	0.1957314801
27	0.1948945898
28	0.1939130315
29	0.1891766678
30	0.1885213346
31	0.1856919673
32	0.1827839404
33	0.1793985357
34	0.1772521384
35	0.1747848657
36	0.1727719817
37	0.1716054968
38	0.1704941035
39	0.1690560851
40	0.1668144162
41	0.1634780118
42	0.1608763732
43	0.1589101439
44	0.1585071874
45	0.1581717348
46	0.1563329231
47	0.154821798
48	0.1534905513
49	0.1520571243
50	0.1506248535
51	0.1496610471
52	0.1482626728
53	0.147459852
54	0.1470105702
55	0.146166098
56	0.1450406647
57	0.1445038554
58	0.1439829846
59	0.1433126602
60	0.1425311854
61	0.1418748193
62	0.1410340588
63	0.1406178948
64	0.1399568129
65	0.139031035
66	0.1379292293
67	0.1373746926
68	0.136985143
69	0.1365601325
70	0.135748441
71	0.1352428213
72	0.134914076
73	0.1346994352
74	0.1339318904
75	0.1334394116
76	0.1323262612
77	0.1320433813
78	0.1312415363
79	0.1300422464
80	0.1296104247
81	0.1293635095
82	0.1291708865
83	0.1288162876
84	0.1283750733
85	0.1273664051
86	0.1270892353
87	0.1263601621
88	0.1254883489
89	0.1253147803
90	0.1251653008
91	0.1249960769
92	0.124558278
93	0.1238020634
94	0.1234545322
95	0.1231078663
96	0.122362949
97	0.1221121063
98	0.1219275598
99	0.1217372008
100	0.1212934371
101	0.1209483408
102	0.1208071362
103	0.1206026017
104	0.120249084
105	0.1197774827
106	0.1193626766
107	0.1191262658
108	0.1189319819
109	0.1187007778
110	0.1185078424
111	0.118210062
112	0.1177718378
113	0.1176251924
114	0.1173528699
115	0.1171082227
116	0.116886564
117	0.1167045941
118	0.1165685598
119	0.1161395565
120	0.1155640512
121	0.1152392659
122	0.1144150287
123	0.1142277484
124	0.1140202974
125	0.1136935299
126	0.1134991657
127	0.1133050744
128	0.1130472102
129	0.112724246
130	0.1124390744
131	0.1122781026
132	0.1121296532
133	0.1119687873
134	0.1116521576
135	0.1113494629
136	0.1111095856
137	0.1110074594
138	0.1102290191
139	0.1099490893
140	0.1097465585
141	0.1095676696
142	0.1094460889
143	0.1091567033
144	0.1089630511
145	0.1088757609
146	0.1087403501
147	0.1086217325
148	0.1084019878
149	0.1082494326
150	0.107964644
151	0.1077524351
152	0.1074051622
153	0.1072517429
154	0.1070990855
155	0.1069128795
156	0.106729052
157	0.1066480673
158	0.106538167
159	0.1063981775
160	0.1062566464
161	0.1061242666
162	0.1059986475
163	0.105855639
164	0.1056757673
165	0.1054837261
166	0.1053180168
167	0.1051585575
168	0.1049378429
169	0.1048736979
170	0.1046773616
171	0.1044604016
172	0.1043222981
173	0.1041497865
174	0.103975995
175	0.1037694506
176	0.1035666455
177	0.1034699259
178	0.103264466
179	0.1029765017
180	0.102802732
181	0.1026626586
182	0.1025614635
183	0.1024677221
184	0.1022674642
185	0.102172657
186	0.1020848646
187	0.1019267525
188	0.1017565421
189	0.1015834295
190	0.1013924189
191	0.1011450469
192	0.1009534825
193	0.1007554124
194	0.1005962043
195	0.1003075716
196	0.1001951463
197	0.1000788627
198	0.09990438406
199	0.09979690117
200	0.09962323666
201	0.09953190258
202	0.0994172932
203	0.09924108726
204	0.09909674441
205	0.09899982645
206	0.098863271
207	0.09871664472
208	0.09858260669
209	0.09845745646
210	0.09835546688
211	0.09821365865
212	0.09807466937
213	0.09797003591
214	0.09788806978
215	0.09775368023
216	0.09764207058
217	0.09759295189
218	0.09744298539
219	0.09722749129
220	0.09710930493
221	0.09696617135
222	0.09684032661
223	0.0967159509
224	0.09662223427
225	0.09647892375
226	0.09619590926
227	0.09605265298
228	0.09596114763
229	0.09575829858
230	0.09557405557
231	0.09548090307
232	0.09540249487
233	0.09529304162
234	0.09517159032
235	0.09497467141
236	0.09487610408
237	0.09475973968
238	0.09466522442
239	0.09451281399
240	0.09444662279
241	0.09431957395
242	0.0942549054
243	0.09418246034
244	0.09408699649
245	0.09397823908
246	0.09387454259
247	0.09382099671
248	0.09373845949
249	0.09357780397
250	0.09346715668
251	0.09337915381
252	0.09328662477
253	0.09320334976
254	0.09309733394
255	0.0929874262
256	0.09291729431
257	0.09283734267
258	0.09274119869
259	0.09265945357
260	0.09240851682
261	0.09228943327
262	0.09218581221
263	0.09213707132
264	0.09200523188
265	0.09190366489
266	0.0916975614
267	0.09159392127
268	0.09148282152
269	0.09139713207
270	0.09131836418
271	0.09123732963
272	0.09112757837
273	0.0910804068
274	0.09098958488
275	0.09084331681
276	0.09074496652
277	0.09063865507
278	0.09049141439
279	0.09042395855
280	0.09031747988
281	0.09012843297
282	0.09008577951
283	0.08989568409
284	0.08981328072
285	0.08967518676
286	0.08961055051
287	0.08953251128
288	0.08938411966
289	0.0892971425
290	0.089236709
291	0.08901258476
292	0.08891316567
293	0.08875978207
294	0.08853360608
295	0.08843632214
296	0.08834048961
297	0.08824140003
298	0.08815651592
299	0.08808356451
300	0.08797471804
301	0.08789372084
302	0.08780241764
303	0.08775752407
304	0.08760952951
305	0.08752664168
306	0.0874414888
307	0.08733517348
308	0.08725661302
309	0.08715861558
310	0.08708711367
311	0.08699497339
312	0.08689185859
313	0.08680678749
314	0.08673721585
315	0.08664688534
316	0.08657220638
317	0.08648460482
318	0.08640815249
319	0.08622620916
320	0.08606830457
321	0.08600710426
322	0.08594878143
323	0.08590710987
324	0.08577937923
325	0.08567163635
326	0.0855648673
327	0.08546479955
328	0.08540266167
329	0.08523454947
330	0.08514754674
331	0.08504779385
332	0.08491778172
333	0.08487041283
334	0.08472916595
335	0.08469446781
336	0.08458554608
337	0.08444964409
338	0.0843018301
339	0.08419764035
340	0.08409703887
341	0.08401214497
342	0.08389901494
343	0.08367349961
344	0.08361535613
345	0.08357103297
346	0.08335532425
347	0.08330152916
348	0.08321599569
349	0.08309826117
350	0.08303757237
351	0.08294794654
352	0.08286761466
353	0.08274621702
354	0.08268423796
355	0.08254757474
356	0.08244025456
357	0.08236592686
358	0.08227934326
359	0.08208708869
360	0.0820039313
361	0.08189371462
362	0.08174651358
363	0.08163638899
364	0.08158042166
365	0.08150736145
366	0.08143655369
367	0.0813319338
368	0.08122496376
369	0.08115868651
370	0.0811171146
371	0.08105303922
372	0.08097527583
373	0.08082128337
374	0.08075492152
375	0.0806545461
376	0.0805923215
377	0.08051381264
378	0.0803745197
379	0.08027711477
380	0.08017438151
381	0.08008461273
382	0.08001526433
383	0.07986298644
384	0.07966223604
385	0.07955496136
386	0.07945766538
387	0.07938075316
388	0.0792918295
389	0.07917590206
390	0.07901957416
391	0.07896482149
392	0.07886410462
393	0.0788174547
394	0.07865692333
395	0.07856050417
396	0.07848560698
397	0.07844557211
398	0.07840353017
399	0.07835027555
400	0.07827819359
401	0.07819447226
402	0.0781392084
403	0.07805754504
404	0.07799319602
405	0.07794759994
406	0.07783850955
407	0.07773331122
408	0.07766084076
409	0.07758713429
410	0.0775133618
411	0.07743244228
412	0.07735212358
413	0.07726069011
414	0.0772008936
415	0.07713916827
416	0.07703764927
417	0.07694013487
418	0.07685419542
419	0.07680156375
420	0.07673354576
421	0.07666638872
422	0.07659229566
423	0.07648950809
424	0.0764363857
425	0.07637504912
426	0.07627768258
427	0.07621016532
428	0.07616680986
429	0.07608444292
430	0.07600526435
431	0.07592171657
432	0.07585435191
433	0.07581741247
434	0.07570831289
435	0.07557653525
436	0.07551009423
437	0.07542398099
438	0.07535583109
439	0.07527096198
440	0.07519066747
441	0.0751455333
442	0.07504930468
443	0.07495616925
444	0.07475467532
445	0.07469153901
446	0.07461666082
447	0.07452823861
448	0.07446078658
449	0.07441074848
450	0.07426342596
451	0.07416042257
452	0.07412362896
453	0.07402351928
454	0.07394626033
455	0.07389644618
456	0.07381458373
457	0.07377202087
458	0.07371365321
459	0.07367397625
460	0.0735172066
461	0.07343401226
462	0.07334412828
463	0.07327589027
464	0.0731621083
465	0.07308328443
466	0.07298843793
467	0.07292172697
468	0.07281998952
469	0.07274056717
470	0.07268489485
471	0.07262610361
472	0.07255502678
473	0.0725104553
474	0.07241139978
475	0.07231939042
476	0.0722665663
477	0.07217717271
478	0.07207864443
479	0.07203207522
480	0.07193391025
481	0.07181092265
482	0.07175637414
483	0.0717018399
484	0.07163710597
485	0.07156988589
486	0.07149181381
487	0.07135919787
488	0.0713256958
489	0.07126569899
490	0.0711993425
491	0.07112449419
492	0.07110218529
493	0.07105271322
494	0.07098822562
495	0.07089939339
496	0.07084770111
497	0.07082310458
498	0.07078255127
499	0.0707268103
